permutation,update,agent,test number,0
1,5,A2,77,0.8683103622260694
1,5,A2,78,0.8683103622260694
1,5,A2,79,0.8683103622260694
1,5,A2,80,0.8683103622260694
1,5,A2,81,0.8683103622260694
1,5,A2,82,0.8683103622260694
1,5,A2,83,0.8683103622260694
1,5,A2,84,0.8683103622260694
1,5,A2,85,0.8683103622260694
1,5,A2,86,0.8683103622260694
1,5,A2,87,0.8683103622260694
1,5,A2,88,0.8683103622260694
1,5,A2,89,0.8683103622260694
1,5,A2,90,0.8683103622260694
1,5,A2,91,0.8683103622260694
1,5,A2,92,0.8683103622260694
1,5,A2,93,0.8683103622260694
1,5,A2,94,0.8683103622260694
1,5,A2,95,0.8683103622260694
1,5,A2,96,0.8683103622260694
1,5,A2,97,0.8683103622260694
1,5,A2,98,0.8683103622260694
1,5,A2,99,0.8683103622260694
1,5,A2,100,0.8683103622260694
1,5,A3,1,0.9057169783627615
1,5,A3,2,0.9057169783627615
1,5,A3,3,0.9057169783627615
1,5,A3,4,0.9057169783627615
1,5,A3,5,0.9057169783627615
1,5,A3,6,0.9057169783627615
1,5,A3,7,0.9057169783627615
1,5,A3,8,0.9057169783627615
1,5,A3,9,0.9057169783627615
1,5,A3,10,0.9057169783627615
1,5,A3,11,0.9057169783627615
1,5,A3,12,0.9057169783627615
1,5,A3,13,0.9057169783627615
1,5,A3,14,0.9057169783627615
1,5,A3,15,0.9057169783627615
1,5,A3,16,0.9057169783627615
1,5,A3,17,0.9057169783627615
1,5,A3,18,0.9057169783627615
1,5,A3,19,0.9057169783627615
1,5,A3,20,0.9057169783627615
1,5,A3,21,0.9057169783627615
1,5,A3,22,0.9057169783627615
1,5,A3,23,0.9057169783627615
1,5,A3,24,0.9057169783627615
1,5,A3,25,0.9057169783627615
1,5,A3,26,0.9057169783627615
1,5,A3,27,0.9057169783627615
1,5,A3,28,0.9057169783627615
1,5,A3,29,0.9057169783627615
1,5,A3,30,0.9057169783627615
1,5,A3,31,0.9057169783627615
1,5,A3,32,0.9057169783627615
1,5,A3,33,0.9057169783627615
1,5,A3,34,0.9057169783627615
1,5,A3,35,0.9057169783627615
1,5,A3,36,0.9057169783627615
1,5,A3,37,0.9057169783627615
1,5,A3,38,0.9057169783627615
1,5,A3,39,0.9057169783627615
1,5,A3,40,0.9057169783627615
1,5,A3,41,0.9057169783627615
1,5,A3,42,0.9057169783627615
1,5,A3,43,0.9057169783627615
1,5,A3,44,0.9057169783627615
1,5,A3,45,0.9057169783627615
1,5,A3,46,0.9057169783627615
1,5,A3,47,0.9057169783627615
1,5,A3,48,0.9057169783627615
1,5,A3,49,0.9057169783627615
1,5,A3,50,0.9057169783627615
1,5,A3,51,0.9057169783627615
1,5,A3,52,0.9057169783627615
1,5,A3,53,0.9057169783627615
1,5,A3,54,0.9057169783627615
1,5,A3,55,0.9057169783627615
1,5,A3,56,0.9057169783627615
1,5,A3,57,0.9057169783627615
1,5,A3,58,0.9057169783627615
1,5,A3,59,0.9057169783627615
1,5,A3,60,0.9057169783627615
1,5,A3,61,0.9057169783627615
1,5,A3,62,0.9057169783627615
1,5,A3,63,0.9057169783627615
1,5,A3,64,0.9057169783627615
1,5,A3,65,0.9057169783627615
1,5,A3,66,0.9057169783627615
1,5,A3,67,0.9057169783627615
1,5,A3,68,0.9057169783627615
1,5,A3,69,0.9057169783627615
1,5,A3,70,0.9057169783627615
1,5,A3,71,0.9057169783627615
1,5,A3,72,0.9057169783627615
1,5,A3,73,0.9057169783627615
1,5,A3,74,0.9057169783627615
1,5,A3,75,0.9057169783627615
1,5,A3,76,0.9057169783627615
1,5,A3,77,0.9057169783627615
1,5,A3,78,0.9057169783627615
1,5,A3,79,0.9057169783627615
1,5,A3,80,0.9057169783627615
1,5,A3,81,0.9057169783627615
1,5,A3,82,0.9057169783627615
1,5,A3,83,0.9057169783627615
1,5,A3,84,0.9057169783627615
1,5,A3,85,0.9057169783627615
1,5,A3,86,0.9057169783627615
1,5,A3,87,0.9057169783627615
1,5,A3,88,0.9057169783627615
1,5,A3,89,0.9057169783627615
1,5,A3,90,0.9057169783627615
1,5,A3,91,0.9057169783627615
1,5,A3,92,0.9057169783627615
1,5,A3,93,0.9057169783627615
